Player Name,Player ID,Format,Matches Played,Innings,Runs Scored,Batting Average,Strike Rate,Highest Score,Centuries,Half-Centuries,Fours,Sixes,Wickets Taken,Bowling Average,Economy Rate,Best Bowling,Five-Wicket Hauls,Catches,Stumpings,Primary Role,Team Name,Toss Decision,Result
Steve Jayasuriya,11,ODI,141,215,4440,32.27737737563184,77.22330419328337,33,26,79,1895,47,69,24.059089335094345,6.038102198298654,5/76,4,4,0,All-rounder,Sri Lanka,Bat,Draw
Anrich Bumrah,12,T20,44,292,9543,66.07408395225232,132.5037364695928,113,24,40,1581,27,18,21.940724095521063,4.337094043770929,0/98,0,15,0,Batsman,Norway,Bat,Win
Mohammad Ponting,13,Test,113,224,4402,30.011506586810512,121.46359227243312,1,39,4,1594,235,87,31.903521602122428,6.03021487330415,3/44,4,24,0,All-rounder,England,Bowl,Draw
Brian Steyn,14,T20,185,88,778,13.8868675302248,39.70460798926142,237,4,99,1197,75,453,28.029299232789004,6.815011548239066,4/71,7,42,0,Bowler,India,Bat,Win
Kieron Rahman,15,Test,45,25,6167,60.40445999673053,113.60786327209485,246,3,63,543,59,14,10.157398992769238,3.817722653514023,1/93,4,87,0,Batsman,Italy,Bat,Loss
Javed Border,16,T20,152,220,977,11.57399064772364,16.440347817431434,58,43,5,1172,224,145,22.81345199464136,6.429727475497067,0/72,1,96,0,Bowler,West Indies,Bat,Loss
Angelo Rabada,17,ODI,142,275,4717,42.03406119026676,115.95254414598588,35,42,75,1308,268,0,0.0,0.0,1/65,8,187,17,Wicketkeeper,India,Bowl,Win
Sam Ur Rahman,18,ODI,75,135,3272,98.81308132506685,74.30699313137012,231,14,45,925,51,16,17.95970356848118,3.233377880286041,7/66,1,85,0,Batsman,Ireland Republic,Bowl,Draw
Virat McCullum,19,T20,183,233,1157,40.86777494457446,109.46896005552398,7,12,22,1656,100,148,34.70393601044482,3.224384211734964,2/12,2,53,0,All-rounder,Pakistan,Bat,Draw
Mujeeb Labuschagne,20,T20,97,66,2269,23.919207308169224,50.26213568986623,160,32,37,1798,298,15,14.981496754423372,4.270798259524133,6/76,1,51,0,Batsman,India,Bowl,Draw
Kieron Afridi,21,ODI,125,80,2707,44.002224006595455,79.36542285221192,288,4,4,553,219,251,33.672425209156856,6.042709219192258,7/71,6,68,0,All-rounder,Canada,Bowl,Win
Babar Curran,22,Test,193,255,1375,27.77015615988843,76.49252871928611,17,5,60,766,249,0,0.0,0.0,1/78,3,119,24,Wicketkeeper,Germany,Bat,Win
David Gilchrist,23,ODI,85,125,7261,87.88685383055824,67.27163228373949,63,44,1,1865,211,20,17.31621455805916,2.152186128389948,3/11,0,34,0,Batsman,New Zealand,Bowl,Loss
Brendon Azam,24,Test,48,146,6085,88.30562684978926,88.98917801647701,60,24,2,1525,41,32,26.81841013340073,1.9893146242847,0/21,1,2,0,Batsman,India,Bowl,Loss
Sunil Ganguly,25,ODI,11,103,8854,97.8011088560258,129.02382334605838,82,24,6,689,109,18,16.949505570580865,3.633372934661871,4/92,9,26,0,Batsman,Italy,Bowl,Loss
Fakhar Dravid,26,Test,118,277,1827,29.45955626002262,115.4652233776729,9,9,89,597,116,0,0.0,0.0,2/93,1,104,27,Wicketkeeper,England,Bowl,Win
Hasan Afridi,27,T20,68,124,3363,36.308731838008434,121.99453050463237,105,11,75,507,68,34,22.601873160460528,2.1259938132670784,4/65,9,15,0,Batsman,Pakistan,Bat,Win
Anrich Archer,28,ODI,95,267,3211,41.95802466625153,117.62276368877036,232,2,49,1040,97,151,26.85941799661246,4.716528336301944,4/49,7,23,0,All-rounder,England,Bowl,Loss
Mujeeb Pandya,29,Test,175,278,716,16.70906592013665,40.394148004459154,221,28,59,1425,249,239,23.144249524824865,7.027765789341577,1/20,4,95,0,Bowler,England,Bat,Win
Kane de Silva,30,Test,146,111,4653,37.31913260258932,82.1250133075165,277,28,64,237,185,169,24.47884121268012,5.9178084432038505,3/33,6,24,0,All-rounder,Australia,Bowl,Win
Mahmudullah Kumble,31,Test,148,89,4425,45.99019225095217,102.89159506721248,38,42,64,1668,230,104,30.01651518904261,3.7156535979357073,1/99,5,65,0,All-rounder,India,Bowl,Win
Fakhar Tendulkar,32,T20,101,158,594,12.732998498817755,42.737933781843815,285,23,96,444,272,381,29.3422989893254,4.868056630939025,0/69,9,9,2,Bowler,India,Bowl,Loss
Habibul Bairstow,33,ODI,40,216,1502,28.166876557603025,96.00813948493531,132,23,61,934,221,0,0.0,0.0,6/58,1,173,46,Wicketkeeper,Belgium,Bowl,Win
AB Kallis,34,ODI,162,36,2293,43.47345639672797,55.40054192684863,242,24,53,720,239,0,0.0,0.0,7/64,3,50,19,Wicketkeeper,Canada,Bowl,Win
Mohammad Bavuma,35,ODI,187,87,901,17.467591618100265,61.6795629612224,281,46,52,1889,285,182,24.68595799371949,3.6727765672332935,9/86,6,95,13,Bowler,Romania,Bowl,Loss
Josh Narine,36,ODI,35,118,2740,25.92655740508955,65.67506756524924,119,48,8,707,60,0,0.0,0.0,9/29,6,80,36,Wicketkeeper,Germany,Bat,Win
Mohammed Pandya,37,ODI,196,182,4197,37.28929338951768,92.83008868566088,62,36,0,1960,192,0,0.0,0.0,7/73,6,103,12,Wicketkeeper,Zimbabwe,Bat,Loss
Monank Waugh,38,Test,53,68,1236,32.73311457419388,82.08632041097746,173,4,14,1095,193,0,0.0,0.0,3/84,5,80,34,Wicketkeeper,India,Bowl,Loss
Brendan Bairstow,39,ODI,168,159,5055,54.26113056978939,111.39434492013191,30,10,88,25,39,32,18.123850200812733,2.3451579249168866,8/45,5,1,0,Batsman,Germany,Bat,Draw
Sachin Waugh,40,ODI,69,285,4916,29.10183858979278,102.36519391024196,230,39,35,88,296,0,0.0,0.0,5/37,3,159,39,Wicketkeeper,Bangladesh,Bat,Win
Rahul Zaman,41,T20,127,164,6069,39.741937498538434,70.8013537217862,168,42,9,1507,201,93,32.07878650433534,4.494040376568757,6/56,1,28,23,All-rounder,India,Bat,Loss
Sam de Silva,42,Test,155,73,371,26.736866690156567,68.22816149398396,139,21,49,234,87,242,25.023909376047428,3.4076807961302715,6/94,7,3,0,Bowler,Germany,Bowl,Draw
Shaun Rizwan,43,Test,109,119,230,17.13874948892142,57.75859618997116,272,14,30,38,169,302,25.772310056671643,7.900629475108707,6/33,3,21,0,Bowler,India,Bat,Draw
Marnus Khan,44,ODI,20,195,1729,25.516194080576163,118.73063951239148,145,8,83,1994,189,0,0.0,0.0,9/57,1,74,29,Wicketkeeper,Ireland Republic,Bat,Draw
Hasan Warne,45,Test,192,89,3865,42.548946266210365,66.72468305598626,193,49,68,1858,118,0,0.0,0.0,9/93,3,114,26,Wicketkeeper,England,Bowl,Draw
Jaskaran Wood,46,Test,91,76,601,14.381869851807249,35.77487574728092,243,5,91,43,79,57,24.562882205048897,7.661777180787635,3/91,1,4,0,Bowler,Germany,Bowl,Draw
Kieron Khan,47,T20,180,221,940,17.40088578386186,66.36535029897149,294,25,97,359,104,460,24.437335195034454,3.158429344945806,9/21,0,15,0,Bowler,India,Bat,Draw
Graeme Shaw,48,Test,71,139,880,28.94276880590486,67.26453203299761,73,5,15,1087,37,267,24.01728887005397,7.783551617749358,7/98,2,55,0,Bowler,India,Bowl,Loss
Anrich Pollock,49,T20,17,241,1249,35.721379362131074,111.03922906015856,135,31,78,934,235,91,20.569384245812888,5.19942098344711,9/50,3,79,0,All-rounder,Sweden,Bat,Draw
Aaron Mahmudullah,50,Test,108,154,5431,27.62589799922626,119.0719523512369,90,42,41,1719,176,20,20.50012345308588,2.369770245501656,2/57,1,37,0,Batsman,Cyprus,Bowl,Win
Kane Stokes,51,T20,80,53,4311,34.47678254633982,53.2828286450652,25,19,25,1496,233,229,22.301804452860424,5.684553169190842,0/72,7,94,0,All-rounder,Spain,Bat,Draw
Marnus Hasaranga,52,Test,82,142,347,11.784202003515013,61.376348965022544,75,34,29,1621,234,203,21.433993367809308,5.403165401914205,9/43,6,39,0,Bowler,Cyprus,Bowl,Draw
Fakhar Wood,53,T20,26,31,2934,30.718348187996423,109.38555479066444,34,42,1,908,232,68,24.32287868685016,4.762451488540213,7/60,5,95,0,All-rounder,New Zealand,Bowl,Win
Shaun Gayle,54,T20,22,223,2091,30.205156746371507,87.84680478040427,206,2,66,1923,221,0,0.0,0.0,1/45,2,55,20,Wicketkeeper,Sri Lanka,Bowl,Loss
Mohammad Border,55,Test,42,292,3237,37.133245714600015,75.00351316627425,276,17,82,283,260,0,0.0,0.0,4/91,6,198,27,Wicketkeeper,West Indies,Bat,Loss
Ali Gooch,56,ODI,193,266,4942,96.487459348515,148.56926413556357,164,34,55,1618,138,31,28.476054975823303,3.021977556669041,2/15,8,77,0,Batsman,Sweden,Bowl,Loss
Brendan Masakadza,57,ODI,191,282,1567,72.13731872038139,55.85706895494997,123,9,23,770,3,16,17.82159598001084,3.5643369423370808,0/69,8,14,0,Batsman,Sri Lanka,Bowl,Win
Shubman Waugh,58,T20,156,276,6139,44.90681208646939,100.9820304352806,221,35,66,1789,60,236,22.34766833659996,6.877548512333851,1/75,3,51,0,All-rounder,Nepal,Bowl,Loss
Ravindra Ur Rahman,59,Test,179,44,668,22.50566592092278,19.506617637775285,272,29,39,794,123,188,26.07378304847848,4.014265375870146,4/61,2,92,0,Bowler,India,Bowl,Loss
Geoffrey Akram,60,Test,131,62,2718,36.606596184559486,79.3221771297586,96,25,62,1724,202,0,0.0,0.0,0/14,1,152,35,Wicketkeeper,Zimbabwe,Bowl,Draw
Mark Shami,61,T20,168,201,4999,25.572787362675857,70.14928568172687,81,29,68,1530,11,126,20.9120847851123,6.381584206873288,3/75,2,8,16,All-rounder,India,Bowl,Draw
Adam Islam,62,T20,74,9,6569,26.166567290486324,127.52195886873182,24,30,58,330,110,185,23.80247165085608,6.208865057371487,4/68,5,49,0,All-rounder,Afghanistan,Bowl,Loss
Brian Boycott,63,T20,96,71,272,11.093216219358782,10.102232887486265,60,3,95,1669,283,496,20.111382646253727,6.503487543557576,9/23,7,20,0,Bowler,West Indies,Bowl,Draw
Adam Steyn,64,ODI,3,90,5154,28.284059034460984,121.4213106996242,93,23,60,1327,246,29,11.726916874602985,1.2494177770429946,8/84,5,88,0,Batsman,Sweden,Bowl,Loss
Aravinda Khan,65,T20,55,24,6671,48.79075639302648,126.4917654437758,292,0,51,1758,217,158,31.294976460843102,6.036747171210333,2/83,8,84,0,All-rounder,Jersey,Bowl,Win
Graeme de Silva,66,T20,195,140,1973,33.93400828945942,66.797663041898,245,25,94,1591,289,0,0.0,0.0,3/51,0,195,40,Wicketkeeper,USA,Bat,Loss
Pat Archer,67,T20,64,78,8958,60.81146405820042,59.09183141812858,140,48,75,1564,192,15,16.108763806838446,2.775735546947499,0/91,1,83,0,Batsman,England,Bowl,Win
Steve Stokes,68,ODI,101,214,1585,40.02645318317035,119.58333023614732,252,28,35,1735,261,0,0.0,0.0,5/98,9,116,22,Wicketkeeper,Portugal,Bat,Loss
Trent Ashraful,69,T20,86,16,1119,44.22094475454695,101.29270292862094,295,37,99,842,151,0,0.0,0.0,5/56,6,118,11,Wicketkeeper,Australia,Bowl,Win
Mahmudullah Archer,70,ODI,54,29,6341,36.52065751006718,96.57565004948088,169,35,30,1655,33,86,31.645584072887942,5.395379163552226,0/46,5,32,0,All-rounder,Pakistan,Bowl,Loss
Trent de Kock,71,T20,95,291,4864,36.86871795369333,107.93405586038554,237,8,96,1480,71,71,26.393015723153724,5.022600866689196,3/79,7,63,0,All-rounder,Pakistan,Bat,Draw
Shahid de Kock,72,T20,23,43,8499,33.82857479822705,76.6397122591771,169,41,6,1310,15,11,17.2955596810667,3.464872741538543,3/81,9,23,0,Batsman,India,Bowl,Win
Wasim Rizwan,73,Test,67,53,2211,93.0891948978648,116.14351169570205,298,31,89,832,79,14,21.86412325864106,4.660774912150867,7/84,5,33,0,Batsman,India,Bowl,Win
Allan Smith,74,ODI,51,276,9967,23.827992124478385,100.65534430356108,195,36,89,70,271,30,10.326087274169362,3.106650563188964,6/35,6,95,0,Batsman,Sri Lanka,Bowl,Loss
Shakib de Silva,75,ODI,83,232,3974,57.13461804221459,68.19964930447415,155,39,19,1865,83,10,22.6151012505489,2.0811370349964777,1/33,3,87,0,Batsman,Austria,Bat,Loss
Sourav Guptill,76,ODI,107,212,978,23.504476689056617,35.84077460224087,98,17,97,136,141,118,25.570815251002017,7.241785969997915,1/42,8,0,0,Bowler,Spain,Bat,Loss
Rishabh Dev,77,T20,17,8,934,27.798087396810324,46.37367206292704,296,23,32,1086,121,90,24.064263749921967,6.500811387935482,8/94,9,78,0,Bowler,Spain,Bat,Draw
David Villiers,78,Test,154,122,3244,26.774383266095526,70.02554647190323,132,39,82,588,189,0,0.0,0.0,5/42,2,120,11,Wicketkeeper,Sri Lanka,Bat,Draw
Marnus Khan,79,ODI,116,42,993,28.84038186737817,66.24850449446106,138,17,16,794,217,296,29.55547461079869,3.6494707249838494,0/49,5,84,0,Bowler,Sri Lanka,Bat,Draw
Ali Afridi,80,Test,77,233,582,27.0458794315634,49.378023950215145,263,38,5,529,188,389,24.478167130427465,5.3433600280779885,9/36,1,56,0,Bowler,England,Bat,Loss
Aiden Shami,81,T20,18,70,1972,37.56890216083588,66.71243310443693,148,7,85,911,281,0,0.0,0.0,9/80,5,87,19,Wicketkeeper,India,Bat,Win
Haris Zaman,82,Test,182,16,8746,28.49962974299979,126.89735501028056,260,38,80,1923,216,32,19.876196230479906,4.089554997440633,0/52,9,40,0,Batsman,Belgium,Bat,Loss
Aiden Hasaranga,83,Test,76,69,686,48.79330645820773,62.09148526133963,33,10,19,989,274,120,28.499179180092028,6.629262203461422,3/25,8,27,0,All-rounder,England,Bowl,Loss
Mushfiqur Buttler,84,Test,160,53,685,25.15768851737341,10.803436654249722,8,42,41,1701,242,247,22.048554900221035,4.941753361363567,7/30,5,85,1,Bowler,India,Bat,Draw
Habibul Sharma,85,ODI,160,173,861,25.07225623283333,25.14466846192241,293,34,62,1171,208,189,27.55725219141933,5.054366364158005,1/88,6,37,0,Bowler,Austria,Bowl,Loss
Ali Richards,86,Test,146,262,882,23.384192079593262,37.23564614043787,42,23,40,936,29,133,24.787344193925023,3.2268995121393456,3/27,1,95,0,Bowler,Czech Republic,Bowl,Draw
Kapil Khan,87,T20,127,289,5445,33.87883492710826,51.42603209416892,95,12,89,1209,56,211,24.05931380661187,3.211843063662435,7/18,4,39,0,All-rounder,Spain,Bat,Win
Mahmudullah Guptill,88,T20,184,15,4569,49.25539438260332,64.24656988187414,11,30,91,587,84,128,27.97322759188869,3.92598245634,5/76,5,25,0,All-rounder,India,Bowl,Loss
Mark Taylor,89,Test,131,270,208,10.369038393233382,63.35644477201622,139,29,71,1563,291,109,20.75032496518924,3.635723674741025,1/92,2,1,0,Bowler,Austria,Bowl,Draw
Graeme Azam,90,ODI,78,167,2962,45.23261934871606,103.06667703053662,286,28,6,43,167,104,32.09500698568674,6.736985487104158,2/82,9,35,0,All-rounder,India,Bat,Win
Kapil Bairstow,91,ODI,156,63,2566,25.68926129252726,113.07237102455828,266,41,70,832,283,0,0.0,0.0,7/78,3,60,43,Wicketkeeper,South Africa,Bowl,Win
Dimuth Labuschagne,92,T20,187,261,811,44.94203726201896,88.09823005562734,282,5,28,648,96,218,24.958817292809904,6.143729005998716,6/33,9,47,0,All-rounder,South Africa,Bowl,Loss
Dhananjaya Kohli,93,T20,162,121,241,26.494193677941663,15.819576903409336,20,2,66,1385,173,350,26.4375167649608,6.524000991841295,4/53,7,93,0,Bowler,Sweden,Bowl,Loss
Viv Richards,94,T20,101,240,4452,26.69188599322712,50.37800527891369,268,27,15,112,209,0,0.0,0.0,9/83,2,137,11,Wicketkeeper,Germany,Bat,Draw
Jofra Jayasuriya,95,T20,83,107,1230,95.80662514142736,130.80062542460877,249,9,76,1184,215,37,16.96483081399782,2.5514708318026416,2/26,7,83,0,Batsman,Bangladesh,Bowl,Win
Brendon Maxwell,96,ODI,15,180,3520,35.353420610448346,118.22573100650668,44,33,49,756,31,119,33.97032492046299,6.53645130916419,2/60,9,72,0,All-rounder,Jersey,Bat,Draw
Sanath Gavaskar,97,Test,171,16,2189,42.50498849356333,63.761975487899285,174,0,81,1984,86,0,0.0,0.0,4/44,4,122,39,Wicketkeeper,Afghanistan,Bat,Draw
AB Botham,98,ODI,7,215,2177,38.7033694126424,112.40430612244153,280,11,43,1641,225,0,0.0,0.0,7/91,2,163,16,Wicketkeeper,India,Bat,Draw
Shaun Jayasuriya,99,Test,174,77,5885,47.97231845723674,69.30636200233468,76,35,76,1032,153,93,32.743506912243305,5.583306164218669,9/66,4,66,0,All-rounder,England,Bat,Draw
Anrich Ponting,100,T20,177,225,432,14.963838716132148,54.28542258750678,232,31,30,1749,196,133,27.210973770002425,3.081085429510143,1/31,9,41,0,Bowler,Japan,Bowl,Loss
David Khan,101,Test,26,93,4918,81.24625610144388,101.81836810718356,197,10,66,1341,86,23,17.84444410764594,4.342447316314097,7/41,9,69,0,Batsman,Sri Lanka,Bat,Draw
Brendon Labuschagne,102,ODI,6,181,6600,32.30780623265124,51.81702823768582,254,0,93,1992,177,99,23.897885832273406,3.605033037383697,1/42,1,27,0,All-rounder,Nepal,Bat,Draw
Mustafizur Masakadza,103,T20,127,174,8622,46.404688119445474,73.92157182490197,155,47,2,1348,78,38,25.48720784946646,3.177964013149899,5/39,5,98,0,Batsman,India,Bowl,Draw
Mushfiqur Kohli,104,Test,128,219,3493,62.5155481932718,146.78333368975393,3,5,89,1141,31,37,26.63862830394225,4.48246685804236,4/51,9,87,0,Batsman,India,Bowl,Draw
Aiden Gooch,105,ODI,151,143,936,13.009461676097535,69.24704856141935,83,26,65,385,185,221,22.96638589307464,4.078440388446399,3/51,4,45,0,Bowler,Romania,Bat,Draw
Muttiah Rahul,106,T20,147,282,4280,27.21666547341969,80.53729606618259,196,14,97,205,63,0,0.0,0.0,5/88,8,62,49,Wicketkeeper,India,Bat,Win
Kapil Rizwan,107,T20,75,259,5469,40.11610831486935,92.56926323657468,213,9,76,1739,232,206,26.472965866246007,3.704752019999329,4/16,7,80,0,All-rounder,India,Bowl,Win
Mujeeb Hobbs,108,ODI,78,47,697,18.326004424387573,31.43425596077965,279,23,74,1052,155,318,21.00637250398192,5.826206333041842,7/75,6,94,0,Bowler,United Arab Emirates,Bowl,Draw
Joe Gill,109,Test,173,5,3391,41.926466355240805,89.95343161000795,144,7,6,1231,207,0,0.0,0.0,7/80,7,198,48,Wicketkeeper,Australia,Bat,Win
Joe Islam,110,Test,55,62,361,22.98308190514631,64.41779440883761,56,16,26,1327,294,62,21.588804639056367,6.809261594826533,0/74,5,70,0,Bowler,Bangladesh,Bowl,Win
Sachin Tendulkar,111,T20,178,84,4004,29.26471207096325,60.41672343124414,153,23,6,584,207,0,0.0,0.0,5/17,4,83,49,Wicketkeeper,Bangladesh,Bowl,Draw
Kane Muralitharan,112,T20,67,133,5975,60.46691347979902,88.84926508392229,99,12,7,1842,140,30,13.568377130271791,1.0833147569623485,4/77,7,51,0,Batsman,Nepal,Bowl,Win
Mohammed McCullum,113,Test,64,63,5588,41.09436287746703,79.98615952947354,199,8,99,1823,57,26,27.67118228340573,3.116101472108666,8/92,0,85,20,Batsman,India,Bat,Draw
Mahmudullah Taylor,114,ODI,8,281,4608,28.546247250253582,104.09024066819946,7,5,41,1908,202,0,0.0,0.0,4/93,1,167,42,Wicketkeeper,Malaysia,Bat,Loss
Zaheer Khan,115,Test,130,44,837,14.551270001374505,59.82077345022844,9,28,92,919,207,282,28.22028619796761,5.3215191255961205,4/22,8,75,0,Bowler,India,Bat,Loss
Monank Sangakkara,116,Test,152,153,8260,74.47495431583859,100.19253892225288,123,22,84,1396,146,22,20.33713349801575,1.1323985761609356,5/71,6,50,0,Batsman,Netherlands,Bowl,Loss
Habibul Finch,117,T20,148,270,5634,26.064863604096423,74.42325954578882,269,21,25,1465,250,229,25.147711783658075,5.542847208166812,2/11,7,57,0,All-rounder,West Indies,Bat,Loss
Jofra Rahim,118,ODI,79,171,4007,42.19342479204228,115.2571615579472,26,20,60,403,38,214,23.32466109015284,3.956016578297179,7/57,4,71,0,All-rounder,Italy,Bat,Draw
Anrich Afridi,119,T20,76,156,873,23.30814199890613,36.82597840120849,4,16,19,851,144,267,22.243503745882645,3.825764642565768,4/42,6,72,0,Bowler,Papua New Guinea,Bowl,Loss
Adam Rahman,120,Test,114,275,2546,32.670998493539074,90.33650823358384,132,33,92,507,297,0,0.0,0.0,3/94,5,140,11,Wicketkeeper,India,Bat,Win
Martin Williamson,121,T20,120,20,4187,33.29569452940013,141.66347658298838,139,25,78,1652,49,29,24.981402941642013,1.7282820590379973,5/78,8,80,14,Batsman,Romania,Bowl,Win
Chris Ponting,122,ODI,40,214,287,16.105958611225,41.30843717263507,263,49,86,242,66,291,20.31753318876627,6.227776072968748,4/50,9,31,0,Bowler,Germany,Bowl,Draw
Brian Hobbs,123,Test,7,79,1826,40.41617977532424,64.17867700662144,226,24,78,233,0,287,25.32668374267026,6.436132502107308,9/50,5,38,0,All-rounder,Spain,Bat,Win
Wasim Malhotra,124,T20,57,139,2940,35.257761695543415,114.88459593358196,59,47,50,1450,132,31,22.66053998059101,2.9147527226532666,5/29,0,7,0,Batsman,United Arab Emirates,Bat,Draw
Dale Khan,125,T20,139,98,4785,61.91718378041643,66.32607569998977,79,37,73,1395,86,31,25.66973134275593,1.3973381603722728,8/57,5,53,0,Batsman,South Africa,Bat,Loss
Kusal Iqbal,126,ODI,150,152,4484,28.71498257949768,53.95986914488369,54,2,1,1412,145,71,31.94091356317612,3.647112754911346,6/94,4,26,0,All-rounder,Malta,Bowl,Win
Angelo Kumble,127,Test,84,198,4618,25.25450657111985,108.41771702884998,93,2,29,467,67,242,31.495284103030365,5.95878437136375,1/24,6,51,0,All-rounder,India,Bat,Win
Ben Border,128,T20,155,273,4320,33.3170348521373,84.36632855318776,40,13,90,719,96,17,15.349386661787312,3.5584057471928023,1/84,1,52,0,Batsman,New Zealand,Bat,Draw
Mohammed Azam,129,ODI,131,156,963,20.69126981219838,53.28047853236577,9,41,16,658,277,487,20.73650740143937,3.871884430755398,4/64,6,71,0,Bowler,India,Bowl,Draw
KL Rabada,130,T20,40,50,610,25.156063346014754,13.689548249217012,225,9,66,1867,285,336,29.504761832238227,6.181191109292314,5/22,2,69,0,Bowler,Cyprus,Bowl,Draw
Habibul Waugh,131,Test,165,228,9788,81.46034747560924,114.86418378759184,115,1,71,1616,89,26,29.546443306537284,2.217559558968264,9/26,7,48,0,Batsman,Zimbabwe,Bat,Draw
Kagiso Border,132,Test,178,10,1209,60.3430623916428,85.16839438618975,106,6,42,1121,256,31,29.193837137607154,3.635103203549549,8/34,6,0,0,Batsman,New Zealand,Bat,Draw
Virat Shaw,133,ODI,12,149,3210,28.484496523055924,75.98432062257146,6,13,48,410,69,26,24.148461158642192,1.5639400988640824,4/23,5,97,0,Batsman,Pakistan,Bowl,Draw
Sunil Villiers,134,ODI,130,58,4924,32.72937225470687,114.0140619886625,20,48,3,296,80,0,0.0,0.0,4/38,2,101,34,Wicketkeeper,Italy,Bowl,Draw
Shubman Waugh,135,ODI,169,162,2145,46.566412240230285,74.8767865176438,251,16,87,379,222,227,31.55761186178473,4.319156837305866,3/39,5,28,0,All-rounder,Czech Republic,Bowl,Win
Mohammed Jadeja,136,Test,129,107,2915,27.34821297446921,92.28003905297652,100,9,28,473,73,0,0.0,0.0,4/18,8,60,15,Wicketkeeper,Netherlands,Bowl,Draw
Kevin Shaw,137,Test,93,289,6415,41.69014589988745,96.12929883753024,214,34,71,753,188,189,21.683498429878348,4.6398659275389935,9/36,7,26,2,All-rounder,Malta,Bat,Loss
Shakib Root,138,ODI,4,186,9632,70.28324747806784,121.08630823280951,43,48,33,1825,175,31,18.56610813714253,2.024543850470707,1/23,5,31,0,Batsman,Malaysia,Bat,Draw
Sam Malhotra,139,ODI,50,46,3534,43.6784729558433,78.17898169903239,222,44,8,20,289,0,0.0,0.0,1/55,1,197,44,Wicketkeeper,Gibraltar,Bowl,Draw
Muttiah Gilchrist,140,ODI,130,129,6100,36.69935578099489,120.99745936034302,209,26,57,1705,213,74,29.640583077698388,4.340651755632177,5/89,1,7,0,All-rounder,Czech Republic,Bat,Win
Mustafizur Khan,141,T20,54,87,3724,26.098980583653105,55.74024974297977,213,47,80,1128,134,249,25.5738040372572,4.497090940424272,8/89,7,20,0,All-rounder,Ireland Republic,Bat,Draw
Viv Bavuma,142,ODI,99,249,6514,47.65564075916095,63.4857617702107,292,2,73,1602,38,62,23.388916631513595,5.037673715101192,5/28,2,73,0,All-rounder,Estonia,Bat,Win
Temba Sangakkara,143,T20,131,257,4271,44.30543630856808,60.67765175068368,238,46,23,1123,292,0,0.0,0.0,7/81,4,95,24,Wicketkeeper,Germany,Bowl,Loss
Ben Raza,144,ODI,76,277,3652,55.459754996397294,117.19616565119446,64,24,55,1500,62,31,25.76959302409184,3.526773767565061,4/76,5,55,0,Batsman,India,Bat,Win
Kumar Ur Rahman,145,ODI,37,278,7484,27.165316875249943,127.73093866812933,253,6,85,1772,270,17,12.76022116741383,2.770815063920033,1/31,1,50,0,Batsman,Greece,Bowl,Win
Waqar Hazlewood,146,Test,14,4,509,18.755323556167365,48.861663397966254,5,12,80,763,210,488,21.761575729990017,6.065642667897919,0/67,2,36,0,Bowler,Belgium,Bat,Win
Rahul Dravid,147,ODI,87,65,154,29.35313113622113,68.37154241080162,293,38,94,82,73,381,21.428792954486564,5.360298515770357,0/50,9,52,0,Bowler,USA,Bat,Win
